Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.0,-0.15146742670490554,-0.10047398310171057,-0.011546267917220021,
0.005004847,-0.1211739413639244,-0.2872382207812189,0.02907017560763059,
0.010009693,-0.10460059107942077,-0.32172792189131727,0.06156333042751072,
0.015014539,-0.12964914847693992,-0.3186739010239486,0.10288073025997768,
0.020019462,-0.1267036565882536,-0.14767888467509305,0.4653772465614967,
0.02499377,-0.13967016289572493,-0.018544315544754317,0.7170665067218529,
0.029998616,-0.20367346962245764,0.06944044888179299,0.987371619684124,
0.035003539,-0.20890745131136945,0.12450537252553937,1.0350633113722996,
0.040008385,-0.26672475026418346,0.183880187417099,0.9046650289806522,
0.045013231,-0.21337980021134678,0.17008848774038088,0.7543777751376464,
0.050018077,-0.28562551728165675,0.19736234178227052,0.4885806502858987,
0.054992462,-0.28979198925714916,0.20385854903921974,0.34489589229903217,
0.059997308,-0.27014080518898353,0.13244108727825077,0.1686565820032886,
0.065002154,-0.24675841994616973,0.12893718378744434,0.05831088571981802,
0.070007001,-0.17442242199209204,0.1644412986199213,0.031325832599293335,
0.075011924,-0.1471993755819549,0.2388132660993062,0.002076352114590563,
0.08001677,-0.08711372467058101,0.30597232575481115,0.009322519679953345,
0.084991078,-0.03904518009962399,0.29840797420553344,-0.04617205017400572,
0.089996001,0.022393969521985385,0.2463878173527081,-0.07524483008061011,
0.095000847,-0.01273060017739458,0.3196933570620981,-0.1751174338887065,
0.100005693,0.028122733641348513,0.2787390949819539,-0.3316306597574492,
0.105010539,-0.008147588881904116,0.2459755899504068,-0.6100692372786156,
0.110015385,0.0011433668827579568,0.29637926117541347,-0.7102370914830498,
0.115020308,-0.07569975790217986,0.22944197095204943,-0.9052937076102676,
0.119994616,-0.05289836833346262,0.16823070078507696,-1.0460153615960266,
0.124999539,-0.07296447046175303,0.16523031258118648,-1.013025363007289,
0.130004385,-0.11966312795936823,0.16283000201807418,-1.0555870689702846,
0.135009232,-0.08040762639093207,0.24518566680610965,-1.0666513568363847,
0.140014078,-0.07964897708930818,0.24977869473028802,-1.0678413491409824,
0.145018924,-0.0867035194781482,0.22280726974907417,-1.199038551724895,
0.149993308,-0.10000859137750145,0.20889156775238438,-1.250365484934603,
0.154998155,-0.110652672738842,0.12114462627222,-1.3527189168783469,
